	0	1
269	Оставила под Аниной подушкой их паспорта на случай надзора , но , видно , подходившие к палатке , хоть и шуршали , но войти в наглухо закрытый « дом » , постучав , не решились .	O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
270	М . С . « собрал » Яковлева , Шеварднадзе и меня ...	B-PER I-PER I-PER I-PER O O O B-PER O B-PER O O O
271	Нелепо !	O O
272	Подхожу к стеклянной и вижу , что кто-то открывает входную дверь .	O O O O O O O O O O O O
273	Они наделены чрезвычайными полномочиями по нормализации обстановки .	O O O O O O O O
274	Не бойся .	O O O
275	Попробовал в первый раз добраться до туалета .	O O O O O O O O
276	— Госплану не занимать менторскую позицию .	O B-ORG O O O O O
277	Встретила привычная картина : жара , мгла , насупленность природы , глухие разрывы за гребнем гор . Когда ехали из аэропорта в город , дорога показалась более разбитой , чем неделю назад .	O O O O O O O O O O O O O O B-LOC I-LOC O O O O B-FAC O B-LOC O O O O O O O O O O
278	Володя был мил .	B-PER O O O
279	Ум , речь , мысль ( а не информированность ) , высота — переплелись .	O O O O O O O O O O O O O O O
