,tokens,BIO_str,BIO_nums,BIO_list
118,"На месте точек не помню , да и верно ли это , во всяком случае что то в этом роде .",O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
119,Союза не будет ...,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
121,Продолжение съезда .,O O O,"[10, 10, 10]","['O', 'O', 'O']"
122,"Часто навещает Борис Никол . , Скибина В . доит козу .",O O B-PER I-PER I-PER O B-PER I-PER I-PER O O O,"[10, 10, 6, 7, 7, 10, 6, 7, 7, 10, 10, 10]","['O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O']"
127,"К теоретической физике , это тоже , разумеется . относится но всё же не в такой степени .",O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
128,Отметила ножовкой сухие сучья у смородины и в саду у слив .,O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
129,"Если найдете , то я приеду и посмотрю на него .",O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
132,"Опять очереди и давка , школы и уроки .",O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
134,"Позвонить домой не смог телефон был занят , да и дежурный какой то иуда попался .",O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
135,"Раз ты такой гуманист в Вене , и в ООН и вообще , думай , когда тебя « просят » пожертвовать еще человеческими жизнями .",O O O O O B-LOC O O O B-ORG O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 0, 10, 10, 10, 2, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
136,На Небе ?,O O O,"[10, 10, 10]","['O', 'O', 'O']"
137,Любимов : « Из этой страны ( России ) актеры всегда стремились уехать ( ?!! ) .,B-PER O O O O O O O O B-CHAR O O O O O O O,"[6, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 10]","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
138,Очень нелегкой была жизнь .,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
139,Горе горькое .,O O O,"[10, 10, 10]","['O', 'O', 'O']"
140,"Того самого , кто подарил нам квартиру .",O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
141,"Царі й вожді великі тому , що людина перед ними стоїть на колінах .",O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
144,И как же мне быть теперь с работой реставратора .,O O O O O O O O B-CHAR O,"[10, 10, 10, 10, 10, 10, 10, 10, 8, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O']"
147,Называется « Сколько можно испытывать нас на прочность » .,O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
148,"Начали реанимировать засохший с вечера нетронутый раствор — целое корыто , куба полтора .",O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
149,И название « Тысяча мелочей » .,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
150,"— Звоните по всем , где шофер ?",O O O O O O B-CHAR O,"[10, 10, 10, 10, 10, 10, 8, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O']"
151,"Ведется самая настоящая партизанская война , которую не смог выиграть ни Наполеон в Испании и в России , ни Гитлер в оккупированной его войсками Европе либо в России .",O O O O O O O O O O O B-PER O O O O O O O B-PER O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
152,Работа над текстом Лунина в Лит . памятниках .,O O O B-PER O O O O O,"[10, 10, 10, 6, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O']"
154,"Неужели не понимают , что скачок из рабского сегодня в полностью демократическое завтра сулит катастрофу .",O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
155,"Четверг , Пятница .",O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
156,"Ганс знает кроме своего языка английский и немецкий , 7 лет он прожил в ФРГ .",B-PER O O O O O O O O O O O O O B-LOC O,"[6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10]","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
157,"Есть даже подозрения , что Валентина Распутина в Иркутске избили не пьяные хулиганы , а кто-то еще .",O O O O O O O O B-LOC O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
158,Бережет их .,O O O,"[10, 10, 10]","['O', 'O', 'O']"
159,"Выступление Ярина от Урала — что-де как вы смеете , мы — на Урале мечтаем о такой жизни , как у вас .",O B-PER O O O O O O O O O O O O O O O O O O O O O,"[10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
160,Да и все вывезенные оттуда советники очень сильно похудели .,O O O O O B-CHAR O O O O,"[10, 10, 10, 10, 10, 8, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O']"
161,"Но времена Чкалова прошли , и мы просто сожгли пару лишних тонн топлива на повторном заходе .",O O B-PER O O O O O O O O O O O O O O,"[10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
162,Встреча в аэропорту .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
163,Лететь ?,O O,"[10, 10]","['O', 'O']"
164,У меня его вообще нет .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
165,Пообедали не важно и теперь все отдыхают через час на смену .,O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
166,Применительно к нашему времени об этом не было ничего … .,O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
167,"Но на самом деле все было по-другому : я писал , а потом придумывал , чтобы оправдать написанное .",O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
168,"Главный герой — Ким Есенин , известный , успешный и бездарный драматург , вдруг осознавший свою бездарность .",O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
169,А не нравится — уходи .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
170,Вот описание этого знаменательного дня .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
172,Потом на ихнем автобусе уехал в часть .,O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
173,"Немного простужен , но не в этом суть .",O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
176,"Лестница мраморная , по мрамору спускается ковер под прижимными стержнями .",O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
177,"Формирования мятежников вокруг Кандагара почувствовали , что их руки развязаны .",O B-CHAR O O O O O O O O O,"[10, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
178,Сегодня читаю .,O O O,"[10, 10, 10]","['O', 'O', 'O']"
179,Мы собираемся купить хомяка .,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
180,Недаром говорят : какая обстановка в Кандагаре — такая и во всем Афганистане .,O O O O O O B-LOC O O O O O B-LOC O,"[10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 0, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
181,"Здесь так : не мы их , так они нас » .",O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
182,"Следующая очередь ударила в деревянную скамейку , и только щепки упали от этого мирного предмета .",O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
183,Заснял целую диапозитивную пленку и я .,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
184,Я и Сашка бурно готовимся к Новому году .,O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
185,"А мы мешаем , говорим : Не води в дом !",O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
186,"Идет шепоток о симуляции , недостойный такой шепоток … но такова наша ведомственная действительность .",O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
187,В провинциальном комитете холодно .,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
188,"В. Конецкий , « Нева » , 1986 г , стр. 100 .",O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
189,Раздумья о вечном .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
192,"Вроде без нажима спросил , и я спокойно ответил , что отдохнул и набрался .",O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
193,"Приятно здесь побыть один на один с собой , а лучше с Богом , если дана в него вера .",O O O O O O O O O O O O B-PER O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
194,На самом деле .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
195,"Саша сказал Вене , что все уже давно продались и даже ...",B-PER O B-PER O O O O O O O O O,"[6, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['B-PER', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
196,"Один Витя не все ел , а еще и собирал в пакет нам на обед .",O B-PER O O O O O O O O O O O O O O,"[10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
197,"Им весело , шумно , озорно .",O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
198,"** Слушала ** ** заседание ** ** Сессии ** ** Верховного ** ** совета . ** Наконец-то проект ** законов ** ** о ** ** собственности , ** ** о ** ** предприятиях , ** ** о ** ** земле , ** ** аренде . ** Но все очень нечетко , противоречиво , что и доказал с блеском ** Собчак . ** Потом об амнистии пленным афганцам .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O O O O O B-CHAR O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 8, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O']"
199,"Кстати , Конецкий использует слово « ванная » вместо « ванна » .",O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
200,Опять пишут о Пелтиере .,O O O B-PER O,"[10, 10, 10, 6, 10]","['O', 'O', 'O', 'B-PER', 'O']"
201,Слушала ответы на вопросы студентов Горбачева и Рыжкова .,O O O O B-CHAR B-PER O B-PER O,"[10, 10, 10, 10, 8, 6, 10, 6, 10]","['O', 'O', 'O', 'O', 'B-CHAR', 'B-PER', 'O', 'B-PER', 'O']"
204,"Даже сказано , что трагически оборвалась его жизнь .",O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
205,Высоцкий своими песнями мог взорвать не один псевдомонумент .,B-PER O O O O O O O O,"[6, 10, 10, 10, 10, 10, 10, 10, 10]","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
206,"( Кроме того , утвердили у Хейфица : и меня , и Лену . )",O O O O O O B-PER O O O O O B-PER O O,"[10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 6, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O']"
207,Вскоре на машинах приехали наши писатели и гости .,O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
208,— Вместо обычных стульев поставили вращающие .,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
209,"На « Поэму без героя » оглядываться нечего , там потенциал другой .",O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
210,Теперь чуть подробней .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
213,А М . С . придает этому значение .,O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
